YYMM;YY;MM;Regions;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Production;Renouvelable;Balance
1411;14;11;HF;9013561;1035001;6868995;613348;8410;2786;0;152249;8680789;776793;-332772
1411;14;11;IDF;12538478;644154;0;5354;4462;11580;0;204332;869882;225728;-11668596
1411;14;11;N;4868646;522457;11671708;193345;8009;18921;0;85917;12500357;306192;7631711
1411;14;11;NlleA;7179203;162980;7052922;179100;115009;527152;0;221701;8258864;1042962;1079661
1411;14;11;O;5868417;97796;1595528;373772;111858;1369646;-435248;134604;3247956;1554632;-2620461
1411;14;11;PACA;6837190;1129439;0;14896;80034;1683023;-11937;94277;2989732;1860293;-3847458
1411;14;11;PDL;4554643;1010852;0;202311;29212;5661;0;66666;1314702;303850;-3239941
1412;14;12;AURA;13334120;489339;15988977;149889;35574;4517994;-652654;170678;20699797;4221481;7365677
1412;14;12;B;4644527;157761;0;302216;8884;108308;-9114;53399;621454;463693;-4023073
1412;14;12;BFC;4088991;144870;0;110855;6991;101253;-6;30293;394256;249386;-3694735
1412;14;12;CVDL;4218914;116629;16876970;380011;8404;34038;0;75630;17491682;498083;13272768
1412;14;12;GE;9004405;1879061;17431828;1046347;11008;1251091;-219359;121265;21521241;2210352;12516836
1412;14;12;HF;10305642;1115706;7475481;1031555;4219;2940;0;159887;9789788;1198601;-515854
1412;14;12;IDF;15729375;968855;0;8539;2305;8625;0;222363;1210687;241832;-14518688
1412;14;12;N;5856091;564270;14311643;270889;5302;19293;0;101951;15273348;397435;9417257
